image_id,file_name,distortion,severity,snr_db,var,amount,ksize,angle
31248,000000031248.jpg,gauss_noise,low,20.0911,157.93,,,
31269,000000031269.jpg,gauss_noise,low,20.6908,230.36,,,
31296,000000031296.jpg,gauss_noise,low,16.0713,288.0,,,
31620,000000031620.jpg,gauss_noise,low,20.2283,182.0,,,
31749,000000031749.jpg,gauss_noise,low,21.9423,244.06,,,
32081,000000032081.jpg,gauss_noise,low,21.3055,126.11,,,
32334,000000032334.jpg,gauss_noise,low,18.2374,283.04,,,
32570,000000032570.jpg,gauss_noise,low,19.2487,242.07,,,
32610,000000032610.jpg,gauss_noise,low,17.272,286.54,,,
32735,000000032735.jpg,gauss_noise,low,20.5995,226.55,,,
32817,000000032817.jpg,gauss_noise,low,21.4252,118.61,,,
32861,000000032861.jpg,gauss_noise,low,15.6394,277.91,,,
32887,000000032887.jpg,gauss_noise,low,15.7167,289.23,,,
32901,000000032901.jpg,gauss_noise,low,18.9792,237.08,,,
33104,000000033104.jpg,gauss_noise,low,20.7917,175.99,,,
33109,000000033109.jpg,gauss_noise,low,21.7761,128.06,,,
33114,000000033114.jpg,gauss_noise,low,19.8854,174.65,,,
33221,000000033221.jpg,gauss_noise,low,22.8528,181.99,,,
33368,000000033368.jpg,gauss_noise,low,19.6167,229.28,,,
33638,000000033638.jpg,gauss_noise,low,14.9873,294.81,,,
33759,000000033759.jpg,gauss_noise,low,17.3259,290.22,,,
35279,000000035279.jpg,gauss_noise,low,21.6308,149.49,,,
35963,000000035963.jpg,gauss_noise,low,16.5019,269.79,,,
36844,000000036844.jpg,gauss_noise,low,20.0726,109.44,,,
36861,000000036861.jpg,gauss_noise,low,21.0681,149.94,,,
37670,000000037670.jpg,gauss_noise,low,21.8261,115.25,,,
37751,000000037751.jpg,gauss_noise,low,19.352,256.4,,,
38070,000000038070.jpg,gauss_noise,low,16.5611,279.24,,,
38576,000000038576.jpg,gauss_noise,low,21.3495,239.46,,,
38678,000000038678.jpg,gauss_noise,low,19.2851,274.4,,,
39405,000000039405.jpg,gauss_noise,low,12.151,150.19,,,
39480,000000039480.jpg,gauss_noise,low,17.3414,231.6,,,
39951,000000039951.jpg,gauss_noise,low,18.478,147.79,,,
40036,000000040036.jpg,gauss_noise,low,18.3307,203.84,,,
40083,000000040083.jpg,gauss_noise,low,20.7349,206.47,,,
41872,000000041872.jpg,gauss_noise,low,16.1435,293.08,,,
42070,000000042070.jpg,gauss_noise,low,23.2415,105.66,,,
42178,000000042178.jpg,gauss_noise,low,15.8104,287.87,,,
42296,000000042296.jpg,gauss_noise,low,18.4444,269.69,,,
42528,000000042528.jpg,gauss_noise,low,20.0721,223.43,,,
42563,000000042563.jpg,gauss_noise,low,22.8415,129.59,,,
43314,000000043314.jpg,gauss_noise,low,22.732,115.63,,,
44068,000000044068.jpg,gauss_noise,low,17.27,133.68,,,
44260,000000044260.jpg,gauss_noise,low,16.5183,295.01,,,
44652,000000044652.jpg,gauss_noise,low,16.9793,284.63,,,
45070,000000045070.jpg,gauss_noise,low,19.8769,156.19,,,
45229,000000045229.jpg,gauss_noise,low,15.2839,207.68,,,
46048,000000046048.jpg,gauss_noise,low,15.163,248.68,,,
46463,000000046463.jpg,gauss_noise,low,20.4726,158.35,,,
46497,000000046497.jpg,gauss_noise,low,19.0672,238.48,,,
46872,000000046872.jpg,gauss_noise,low,17.3065,260.01,,,
49060,000000049060.jpg,gauss_noise,low,20.0614,228.79,,,
49810,000000049810.jpg,gauss_noise,low,18.0862,216.72,,,
50638,000000050638.jpg,gauss_noise,low,17.2946,295.47,,,
51314,000000051314.jpg,gauss_noise,low,19.3055,176.11,,,
51598,000000051598.jpg,gauss_noise,low,20.2075,213.42,,,
51938,000000051938.jpg,gauss_noise,low,20.3683,191.22,,,
51976,000000051976.jpg,gauss_noise,low,16.2733,262.58,,,
52017,000000052017.jpg,gauss_noise,low,21.0441,272.7,,,
52412,000000052412.jpg,gauss_noise,low,19.6404,229.7,,,
52413,000000052413.jpg,gauss_noise,low,15.9203,259.58,,,
52565,000000052565.jpg,gauss_noise,low,19.4652,185.11,,,
53505,000000053505.jpg,gauss_noise,low,19.5598,196.56,,,
53624,000000053624.jpg,gauss_noise,low,20.0336,234.68,,,
53909,000000053909.jpg,gauss_noise,low,22.4368,123.57,,,
54592,000000054592.jpg,gauss_noise,low,16.837,269.71,,,
54593,000000054593.jpg,gauss_noise,low,18.0186,268.25,,,
54654,000000054654.jpg,gauss_noise,low,19.9386,209.67,,,
55528,000000055528.jpg,gauss_noise,low,21.151,137.05,,,
55950,000000055950.jpg,gauss_noise,low,19.3253,167.63,,,
56288,000000056288.jpg,gauss_noise,low,22.7827,110.32,,,
57597,000000057597.jpg,gauss_noise,low,14.7355,222.03,,,
57672,000000057672.jpg,gauss_noise,low,18.4895,240.13,,,
58705,000000058705.jpg,gauss_noise,low,19.5939,246.77,,,
59386,000000059386.jpg,gauss_noise,low,17.0037,247.15,,,
59635,000000059635.jpg,gauss_noise,low,21.3265,153.83,,,
60090,000000060090.jpg,gauss_noise,low,20.5691,180.38,,,
60363,000000060363.jpg,gauss_noise,low,20.8983,237.32,,,
60449,000000060449.jpg,gauss_noise,low,21.7972,169.38,,,
60507,000000060507.jpg,gauss_noise,low,22.0548,118.54,,,
60823,000000060823.jpg,gauss_noise,low,18.7573,236.12,,,
60886,000000060886.jpg,gauss_noise,low,16.9935,221.01,,,
60899,000000060899.jpg,gauss_noise,low,17.1359,273.48,,,
61268,000000061268.jpg,gauss_noise,low,21.8552,167.65,,,
61418,000000061418.jpg,gauss_noise,low,20.7544,160.35,,,
61960,000000061960.jpg,gauss_noise,low,20.9326,121.81,,,
62808,000000062808.jpg,gauss_noise,low,19.1469,117.88,,,
63047,000000063047.jpg,gauss_noise,low,21.0842,104.13,,,
64084,000000064084.jpg,gauss_noise,low,19.1422,216.56,,,
64359,000000064359.jpg,gauss_noise,low,16.9432,202.81,,,
64495,000000064495.jpg,gauss_noise,low,21.1374,175.0,,,
64499,000000064499.jpg,gauss_noise,low,19.833,210.62,,,
64868,000000064868.jpg,gauss_noise,low,17.7804,294.28,,,
65455,000000065455.jpg,gauss_noise,low,19.1952,225.94,,,
65736,000000065736.jpg,gauss_noise,low,15.0352,183.53,,,
66231,000000066231.jpg,gauss_noise,low,20.1777,108.13,,,
66706,000000066706.jpg,gauss_noise,low,16.6268,293.35,,,
66841,000000066841.jpg,gauss_noise,low,22.069,111.26,,,
66886,000000066886.jpg,gauss_noise,low,20.5133,134.36,,,
67310,000000067310.jpg,gauss_noise,low,18.5521,296.58,,,
67406,000000067406.jpg,gauss_noise,low,22.8417,166.53,,,
67616,000000067616.jpg,gauss_noise,low,16.2735,290.9,,,
69138,000000069138.jpg,gauss_noise,low,18.6917,111.39,,,
69356,000000069356.jpg,gauss_noise,low,19.9457,149.22,,,
69795,000000069795.jpg,gauss_noise,low,22.9734,168.92,,,
70048,000000070048.jpg,gauss_noise,low,19.1946,259.8,,,
71711,000000071711.jpg,gauss_noise,low,20.5688,161.33,,,
71877,000000071877.jpg,gauss_noise,low,21.2097,133.57,,,
71938,000000071938.jpg,gauss_noise,low,18.1542,288.02,,,
73326,000000073326.jpg,gauss_noise,low,18.9893,237.13,,,
73946,000000073946.jpg,gauss_noise,low,16.7849,254.43,,,
74092,000000074092.jpg,gauss_noise,low,14.8192,162.06,,,
74200,000000074200.jpg,gauss_noise,low,17.3048,226.3,,,
74209,000000074209.jpg,gauss_noise,low,18.9435,255.45,,,
76417,000000076417.jpg,gauss_noise,low,21.9633,189.41,,,
76547,000000076547.jpg,gauss_noise,low,19.7879,151.66,,,
76625,000000076625.jpg,gauss_noise,low,17.0208,251.52,,,
76731,000000076731.jpg,gauss_noise,low,14.8655,282.89,,,
77396,000000077396.jpg,gauss_noise,low,18.4692,271.44,,,
78266,000000078266.jpg,gauss_noise,low,16.2364,289.58,,,
79014,000000079014.jpg,gauss_noise,low,18.6237,221.13,,,
79144,000000079144.jpg,gauss_noise,low,18.4251,175.57,,,
79188,000000079188.jpg,gauss_noise,low,23.4913,117.67,,,
79229,000000079229.jpg,gauss_noise,low,17.4745,167.47,,,
79651,000000079651.jpg,gauss_noise,low,17.3343,218.97,,,
80022,000000080022.jpg,gauss_noise,low,14.7905,161.91,,,
80153,000000080153.jpg,gauss_noise,low,23.7866,238.95,,,
80340,000000080340.jpg,gauss_noise,low,18.218,224.07,,,
80659,000000080659.jpg,gauss_noise,low,21.4964,140.24,,,
80671,000000080671.jpg,gauss_noise,low,24.8393,148.28,,,
80932,000000080932.jpg,gauss_noise,low,18.6454,136.5,,,
81594,000000081594.jpg,gauss_noise,low,19.2344,279.88,,,
82765,000000082765.jpg,gauss_noise,low,17.0911,175.89,,,
82821,000000082821.jpg,gauss_noise,low,17.0291,211.61,,,
